Species	Min	Max	Median	Mean	StDev	Assembly_count	GC_Min	GC_Max	GC_Median	GC_Mean	GC_Stdev	GC_count	CDS_Min	CDS_Max	CDS_Median	CDS_Mean	CDS_Stdev	CDS_count	Consensus_TAXID
Candidatus Liberibacter solanacearum	1.194319	1.312416	1.202397	1.230472	0.04781466357300865	11	35.0	35.0	35.0	35.0	0.0	9	1026	1150	1037	1068.2727272727273	51.900078822851334	11	556287
Heyndrickxia coagulans	2.866769	3.694837	3.357379	3.29577496875	0.256568899893395	64	46.0	47.5	46.75	46.8046875	0.5087893153952011	64	2675	3308	3049.5	3028.0625	198.4613732358684	64	1398
Myxosarcina sp. GI1	7.069859	7.069859	7.069859	7.069859	0.0	1	40.0	40.0	40.0	40.0	0	1	6263	6263	6263	6263	0	1	1541065
Leuconostoc mesenteroides P45	1.874188	1.874188	1.874188	1.874188	0.0	1	37.5	37.5	37.5	37.5	0	1	1796	1796	1796	1796	0	1	1429888
Sphingopyxis sp. LC81	4.39729	4.39729	4.39729	4.39729	0.0	1	65.0	65.0	65.0	65.0	0	1	4133	4133	4133	4133	0	1	1502850
Sphingopyxis sp. LC363	4.210757	4.210757	4.210757	4.210757	0.0	1	65.0	65.0	65.0	65.0	0	1	3938	3938	3938	3938	0	1	1120705
Piscirickettsia salmonis	3.24567	3.701548	3.486543	3.462266	0.0886176353704379	72	39.5	39.5	39.5	39.5	0.0	76	3234	3587	3393.0	3394.323529411765	69.24420147639512	68	1238
Ornithobacterium rhinotracheale ORT-UMN 88	2.397867	2.397867	2.397867	2.397867	0.0	1	37.5	37.5	37.5	37.5	0	1	2230	2230	2230	2230	0	1	1401325
Paenibacillus durus	6.053498	6.053498	6.053498	6.053498	0.0	1	51.0	51.0	51.0	51.0	0	1	5286	5286	5286	5286	0	1	44251
Alcanivorax jadensis T9	3.629371	3.629371	3.629371	3.629371	0.0	1	58.5	58.5	58.5	58.5	0	1	3273	3273	3273	3273	0	1	1177181
Alcanivorax nanhaiticus	4.132804	4.132804	4.132804	4.132804	0.0	1	56.5	56.5	56.5	56.5	0	1	3748	3748	3748	3748	0	1	1177154
Jeotgalicoccus saudimassiliensis	2.191063	2.191063	2.191063	2.191063	0.0	1	42.5	42.5	42.5	42.5	0	1	2144	2144	2144	2144	0	1	1461582
Pseudomonas saudiphocaensis	3.603677	3.700425	3.673759	3.659287	0.04997122135789758	3	61.0	61.0	61.0	61.0	0.0	3	3309	3367	3346	3340.6666666666665	29.36551265231604	3	1499686
Legionella massiliensis	4.387007	4.387007	4.387007	4.387007	0.0	1	41.0	41.0	41.0	41.0	0	1	3633	3633	3633	3633	0	1	1034943
Burkholderia cepacia	7.814008	9.194903	8.609153	8.58465103358209	0.2404999193587716	268	66.0	67.0	66.5	66.6343537414966	0.2673535273183639	294	7013	8260	7740.5	7725.149253731343	230.25307709681016	268	292
Burkholderia gladioli	7.712656	8.901311	8.296586	8.291665864265928	0.21913520039845993	361	68.0	68.0	68.0	68.0	0.0	322	6636	7716	7167.0	7151.403314917127	211.78249645840754	362	28095
Flavobacterium aquatile LMG 4008 = ATCC 11947	3.488813	3.490856	3.4898345	3.4898345	0.0014446191539641165	2	32.0	32.0	32.0	32.0	0.0	2	3134	3140	3137.0	3137	4.242640687119285	2	1453498
Pantoea stewartii subsp. indologenes	4.633154	5.090281	4.797428	4.806004086956522	0.11878519459929378	23	53.5	53.5	53.5	53.5	0.0	22	4193	4591	4325	4345.523809523809	97.20679968377678	21	66270
Tatumella morbirosei	4.413398	4.413398	4.413398	4.413398	0.0	1	50.0	50.0	50.0	50.0	0	1	3922	3922	3922	3922	0	1	642227
Pantoea vagans	4.507975	5.110052	4.937674	4.886021961538462	0.15712534397747063	26	55.0	55.0	55.0	55.0	0.0	19	3885	4801	4448.0	4416.285714285715	221.18014396562836	28	470934
Achromobacter sp. RTa	6.476495	6.476495	6.476495	6.476495	0.0	1	66.5	66.5	66.5	66.5	0	1	5916	5916	5916	5916	0	1	1532557
Rhizobium sp. YS-1r	6.385152	6.385152	6.385152	6.385152	0.0	1	61.0	61.0	61.0	61.0	0	1	5965	5965	5965	5965	0	1	1532558
Candidatus Paracaedibacter symbiosus	2.720405	2.720405	2.720405	2.720405	0.0	1	41.0	41.0	41.0	41.0	0	1	2319	2319	2319	2319	0	1	244582
Sphingobacterium deserti	4.595883	4.595883	4.595883	4.595883	0.0	1	42.5	42.5	42.5	42.5	0	1	3826	3826	3826	3826	0	1	1229276
Pluralibacter gergoviae	5.155737	5.959668	5.484244	5.509189333333333	0.20027600871561593	30	59.0	59.0	59.0	59.0	0.0	22	4495	5507	4978.0	5040.625	224.91830057930784	32	61647
Methylobacterium oryzae CBMB20	6.286629	6.286629	6.286629	6.286629	0.0	1	70.0	70.0	70.0	70.0	0	1	5664	5664	5664	5664	0	1	693986
Cedecea neteri	4.659311	5.469298	4.965436	5.025614857142857	0.28734818057392125	7	54.5	55.0	54.5	54.666666666666664	0.2581988897471611	6	4250	4982	4525	4614.142857142857	274.7152638469078	7	158822
Prochlorococcus sp. MIT 0604	1.780061	1.780061	1.780061	1.780061	0.0	1	31.0	31.0	31.0	31.0	0	1	2003	2003	2003	2003	0	1	1501268
Prochlorococcus sp. MIT 0801	1.929203	1.929203	1.929203	1.929203	0.0	1	35.0	35.0	35.0	35.0	0	1	2145	2145	2145	2145	0	1	1501269
Paenibacillus wynnii	5.553667	5.988861	5.771264	5.771264	0.30772862853169836	2	45.0	45.0	45.0	45.0	0.0	2	4936	5437	5186.5	5186.5	354.26049737446033	2	268407
Candidatus Arsenophonus nilaparvatae str. Hanzhou	2.953863	2.953863	2.953863	2.953863	0.0	1	37.5	37.5	37.5	37.5	0	1	2497	2497	2497	2497	0	1	1247024
Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000956	4.785362	4.785362	4.785362	4.785362	0.0	1	52.0	52.0	52.0	52.0	0	1	4469	4469	4469	4469	0	1	1182185
Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000220	5.141052	5.141052	5.141052	5.141052	0.0	1	52.0	52.0	52.0	52.0	0	1	4947	4947	4947	4947	0	1	1173443
Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000962	4.756891	4.756891	4.756891	4.756891	0.0	1	52.0	52.0	52.0	52.0	0	1	4453	4453	4453	4453	0	1	1182192
Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN001090	4.779196	4.779196	4.779196	4.779196	0.0	1	52.0	52.0	52.0	52.0	0	1	4433	4433	4433	4433	0	1	1196349
Leptospira interrogans serovar Lai	4.403805	4.891582	4.6476935	4.6476935	0.34491042440683056	2	35.0	35.0	35.0	35.0	0.0	2	3517	4058	3787.5	3787.5	382.54476862192223	2	57678
Leptospira borgpetersenii serovar Ballum	3.914855	3.954751	3.9240325	3.926854730769231	0.008521945391718187	52	40.0	40.0	40.0	40.0	0.0	57	3164	3204	3180	3180.4920634920636	9.690156321973905	63	280505
Streptococcus pyogenes SS1447	1.915158	1.915158	1.915158	1.915158	0.0	1	38.5	38.5	38.5	38.5	0	1	1696	1696	1696	1696	0	1	562017
Spirochaeta lutea	3.532909	3.532909	3.532909	3.532909	0.0	1	54.0	54.0	54.0	54.0	0	1	2928	2928	2928	2928	0	1	1480694
Halomonas halophila	3.511261	3.563217	3.5457985	3.54151875	0.025586575391208573	4	68.0	68.0	68.0	68.0	0.0	5	3257	3265	3261.0	3261	4.08248290463863	4	29573
Limosilactobacillus reuteri	1.804164	2.552459	2.1094715	2.115784067099567	0.1476177540248402	462	38.0	39.5	38.5	38.65021459227468	0.26226875545455824	466	1669	2399	1986	2007.262693156733	150.6726932315581	453	1598
Dickeya fangzhongdai	4.919564	5.260352	5.032445	5.047450409090909	0.0931595113241692	22	56.5	57.0	57.0	56.81818181818182	0.24618298195866548	22	4213	4461	4295.5	4315.090909090909	77.13742164592888	22	1778540
Ligilactobacillus salivarius	1.719321	2.258908	1.972089	1.982946367213115	0.09515989445852771	305	32.5	33.5	33.0	32.82078313253012	0.2463424064695377	332	1667	2190	1877	1888.1909385113267	110.43420404981573	309	1624
Piscirickettsia salmonis EM-90	3.035439	3.413144	3.2242915	3.2242915	0.2670777667880649	2	39.5	40.0	39.75	39.75	0.3535533905932738	2	3102	3558	3330.0	3330	322.44069222106566	2	1435375
Paenibacillus sp. FSL H7-0357	7.692657	7.692748	7.6927025	7.6927025	6.434671708797581e-05	2	49.0	49.0	49.0	49.0	0.0	2	6671	6713	6692.0	6692	29.698484809834994	2	1536774
Paenibacillus sp. FSL H7-0737	6.765542	6.765883	6.7657125	6.7657125	0.0002411234123846127	2	43.5	43.5	43.5	43.5	0.0	2	5829	5848	5838.5	5838.5	13.435028842544403	2	1536775
Paenibacillus sp. FSL P4-0081	8.423054	8.423054	8.423054	8.423054	0.0	1	51.0	51.0	51.0	51.0	0	1	7077	7077	7077	7077	0	1	1536769
Paenibacillus sp. FSL R5-0345	6.787172	6.787172	6.787172	6.787172	0.0	1	43.5	43.5	43.5	43.5	0	1	5927	5927	5927	5927	0	1	1536770
Paenibacillus sp. FSL R5-0912	7.717252	7.718525	7.7178885	7.7178885	0.000900146932450475	2	51.0	51.0	51.0	51.0	0.0	2	6469	6472	6470.5	6470.5	2.1213203435596424	2	1536771
Paenibacillus sp. FSL R7-0273	7.186641	7.288921	7.287539	7.254367	0.058656506783135325	3	52.0	52.0	52.0	52.0	0.0	3	6155	6161	6159	6158.333333333333	3.0550504633038935	3	1536772
Paenibacillus sp. FSL R7-0331	6.930564	6.931967	6.9312655	6.9312655	0.0009920708140047263	2	51.0	51.0	51.0	51.0	0.0	2	5905	5912	5908.5	5908.5	4.949747468305833	2	1536773
Paenibacillus borealis	7.684467	8.156808	7.9206375	7.9206375	0.33399552413243505	2	49.0	51.5	50.25	50.25	1.7677669529663689	2	6753	6860	6806.5	6806.5	75.66042558696059	2	160799
Paenibacillus stellifer	5.658798	5.658798	5.658798	5.658798	0.0	1	53.5	53.5	53.5	53.5	0	1	5077	5077	5077	5077	0	1	169760
Paenibacillus graminis	7.096289	7.207902	7.166464	7.156885	0.056419707310477955	3	50.5	50.5	50.5	50.5	0.0	3	6120	6484	6397	6333.666666666667	190.08506867540473	3	189425
Paenibacillus odorifer	6.716933	7.51317	6.950698	6.986272783783784	0.21607664482849792	37	44.0	44.0	44.0	44.0	0.0	32	5861	6503	6051.5	6093.735294117647	186.81903556626898	34	189426
Actinomyces urogenitalis S6-C4	2.713444	2.713444	2.713444	2.713444	0.0	1	69.0	69.0	69.0	69.0	0	1	2200	2200	2200	2200	0	1	1284679
Actinomyces sp. S6-Spd3	2.091011	2.091011	2.091011	2.091011	0.0	1	57.0	57.0	57.0	57.0	0	1	1877	1877	1877	1877	0	1	1284680
Anaerococcus lactolyticus S7-1-13	1.936866	1.936866	1.936866	1.936866	0.0	1	35.0	35.0	35.0	35.0	0	1	1780	1780	1780	1780	0	1	1284686
Actinomyces sp. S4-C9	1.955632	1.955632	1.955632	1.955632	0.0	1	56.0	56.0	56.0	56.0	0	1	1674	1674	1674	1674	0	1	1219581
Arcanobacterium sp. S3PF19	1.490259	1.490259	1.490259	1.490259	0.0	1	56.0	56.0	56.0	56.0	0	1	1253	1253	1253	1253	0	1	1219585
